actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-10.821393301010131,1000,100444,3.0492208032608032,3840,200.0,200.0,200.0,422,100444,1,100444
-24.2730407371521,1000,100902,3.334670657992363,3848,32.0,32.0,32.0,221,100902,1,100902
-27.451711311340333,1000,100946,3.6109929764270783,3850,22.0,22.0,22.0,197,100946,2,100946
-40.85991175079346,1000,101599,4.6691894159913065,3860,30.0,30.0,30.0,129,101599,2,101599
-41.82083522033692,1000,101621,5.441464616179466,3861,22.0,22.0,22.0,125,101621,2,101621
