actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-20.378873424530028,1000,503722,3.0176585038900376,13728,24.0,27.8,27.8,449,503722,1,503722
-37.22645955657959,1000,507911,5.561396823644638,13793,33.0,30.8,30.8,235,507911,2,507911
-47.00389948272705,1000,512079,7.736576253175736,13858,24.0,72.6,72.6,161,512079,3,512079
-49.81171092224121,1000,517513,8.894317825317383,13923,31.0,102.2,102.2,122,517513,4,517513
-33.01589890670776,1000,521881,12.343595302581788,13988,33.0,99.2,99.2,99,521881,5,521881
-25.85570251464844,1000,527344,7.236085429668426,14053,200.0,100.4,100.4,83,527344,6,527344
-26.160542476654054,1000,532684,5.809544427394867,14118,200.0,98.6,98.6,72,532684,7,532684
-26.6523345451355,1000,537973,5.398551780700684,14183,33.0,40.4,40.4,64,537973,8,537973
-26.670475902557374,1000,543364,4.938112450838089,14248,31.0,37.0,37.0,57,543364,9,543364
-25.175743095397948,1000,548144,4.889157036542892,14313,200.0,105.8,105.8,52,548144,10,548144
-25.754471210479736,1000,553082,4.8959996798038485,14378,33.0,65.0,65.0,48,553082,11,553082
-26.433662803649902,1000,559174,5.627376553297043,14443,200.0,98.2,98.2,44,559174,12,559174
-27.26775309371948,1000,564392,6.511532073497772,14508,200.0,65.2,65.2,41,564392,13,564392
-28.172478218078613,1000,569341,8.164302464485168,14573,22.0,72.2,72.2,39,569341,14,569341
-28.522966289520262,1000,574441,8.416728679418563,14638,53.0,77.0,77.0,36,574441,15,574441
-28.386495067596435,1000,579698,8.825663276672364,14703,47.0,136.0,136.0,34,579698,16,579698
-28.258933044433594,1000,584191,8.181911709308624,14768,66.0,73.4,73.4,33,584191,17,584191
-28.170312999725343,1000,588598,7.572623821735382,14833,33.0,36.0,36.0,31,588598,18,588598
-28.13461042022705,1000,593842,7.274860294818878,14898,25.0,41.6,41.6,30,593842,19,593842
-28.239855857849122,1000,598709,7.406322543859482,14963,33.0,97.8,97.8,28,598709,20,598709
-28.27890894317627,1000,603285,7.84203319644928,15028,57.0,72.6,72.6,27,603285,21,603285
-28.57349556350708,1000,608593,7.767422127246856,15093,33.0,65.2,65.2,26,608593,22,608593
-29.70011470413208,1000,614029,7.8020393180847165,15158,22.0,131.0,131.0,25,614029,23,614029
-30.488107292175293,1000,619248,8.032707565069199,15223,28.0,102.4,102.4,24,619248,24,619248
-30.85552578353882,1000,624576,7.978009613990784,15288,200.0,136.4,136.4,24,624576,25,624576
-30.65755386352539,1000,629828,8.224390086174012,15353,200.0,110.0,110.0,23,629828,26,629828
-30.463096225738525,1000,635919,8.414773503780365,15418,33.0,102.4,102.4,22,635919,27,635919
-30.82817874145508,1000,641122,8.283577850103379,15483,36.0,30.0,30.0,21,641122,28,641122
-31.79789533615112,1000,645998,8.523899407148361,15548,50.0,73.2,73.2,21,645998,29,645998
-32.40017818832398,1000,650960,9.019150411128997,15613,33.0,38.6,38.6,20,650960,30,650960
-32.88143660736084,1000,655714,9.272049040794373,15678,45.0,101.6,101.6,20,655714,31,655714
-32.76009925460816,1000,659263,9.944762756347655,15743,33.0,37.4,37.4,19,659263,32,659263
-32.99185307312012,1000,663731,9.405438625335693,15808,200.0,68.4,68.4,19,663731,33,663731
-33.5177169380188,1000,668167,11.340994091033936,15873,27.0,29.8,29.8,18,668167,34,668167
-33.239205509185794,1000,672815,13.661293085098267,15938,200.0,136.6,136.6,18,672815,35,672815
-33.87201118469238,1000,678846,15.094671386241913,16003,200.0,101.8,101.8,18,678846,36,678846
-33.501437496185304,1000,683814,14.536893211364745,16068,42.0,72.6,72.6,17,683814,37,683814
-33.30969338989258,1000,689597,14.871381108760835,16133,200.0,102.8,102.8,17,689597,38,689597
-33.085910869598386,1000,695223,12.185803912639617,16198,200.0,133.6,133.6,17,695223,39,695223
-33.69753652572632,1000,700266,12.191666244506836,16263,62.0,107.4,107.4,16,700266,40,700266
-33.617813537597655,1000,706187,11.212985206127167,16328,200.0,105.0,105.0,16,706187,41,706187
-34.62986470413208,1000,711439,12.01247701358795,16393,24.0,64.8,64.8,16,711439,42,711439
-35.229939502716064,1000,716823,11.1507395529747,16458,54.0,74.4,74.4,16,716823,43,716823
-36.20613710784912,1000,720954,11.662492902755737,16523,33.0,39.8,39.8,15,720954,44,720954
-36.46359721374512,1000,725738,13.269400230407715,16588,200.0,96.8,96.8,15,725738,45,725738
-36.727743782043454,1000,730246,11.97444040441513,16653,33.0,33.4,33.4,15,730246,46,730246
-35.897699577331544,1000,735479,14.9039331138134,16718,24.0,28.6,28.6,15,735479,47,735479
-35.92693605041504,1000,739798,14.60107656955719,16783,34.0,99.8,99.8,14,739798,48,739798
-36.08549097442627,1000,744514,16.498270533561705,16848,33.0,37.0,37.0,14,744514,49,744514
-35.93609508132935,1000,748789,21.49028867340088,16913,33.0,31.0,31.0,14,748789,50,748789
-35.42659340286255,1000,752870,19.844621109962464,16978,52.0,68.0,68.0,14,752870,51,752870
-34.476236064910886,1000,757519,22.69851314973831,17043,33.0,101.4,101.4,14,757519,52,757519
-33.569504241943356,1000,762794,15.458554463386536,17108,40.0,68.8,68.8,13,762794,53,762794
-33.65357346725464,1000,767121,13.274719474554061,17173,33.0,66.0,66.0,13,767121,54,767121
-34.27701720046997,1000,771382,10.091148270368576,17238,33.0,73.6,73.6,13,771382,55,771382
-35.67403242111206,1000,775774,9.155331370830536,17303,59.0,110.4,110.4,13,775774,56,775774
-36.59622365570068,1000,780489,8.745093760728835,17368,30.0,29.2,29.2,13,780489,57,780489
-37.6113099899292,1000,785857,9.288907165765762,17433,31.0,132.8,132.8,13,785857,58,785857
-37.89117333984375,1000,791224,9.271825864076614,17498,200.0,139.6,139.6,12,791224,59,791224
-38.32181060028076,1000,796184,9.120834861278533,17563,200.0,69.2,69.2,12,796184,60,796184
-38.233329078674316,1000,800864,9.117897774219513,17628,200.0,64.8,64.8,12,800864,61,800864
-38.317235305786134,1000,806535,13.514785044670106,17693,67.0,80.4,80.4,12,806535,62,806535
-38.31971510314941,1000,811470,10.338766740322113,17758,36.0,63.6,63.6,12,811470,63,811470
-39.151765151977536,1000,815351,9.539954883098602,17823,71.0,42.0,42.0,12,815351,64,815351
-39.408209800720215,1000,819573,9.619590215682983,17888,34.0,34.0,34.0,12,819573,65,819573
-39.878844978332516,1000,824277,10.165412384271622,17953,33.0,62.4,62.4,12,824277,66,824277
-39.9047130279541,1000,828716,10.254511789798737,18018,33.0,66.8,66.8,11,828716,67,828716
-39.62064884185791,1000,832230,11.615667638301849,18083,53.0,44.0,44.0,11,832230,68,832230
-39.51825014495849,1000,836998,12.088719074726106,18148,200.0,138.2,138.2,11,836998,69,836998
-38.87523614501953,1000,842601,11.298920111179353,18213,24.0,31.0,31.0,11,842601,70,842601
-39.07161666107178,1000,847381,11.196689406394958,18278,33.0,64.8,64.8,11,847381,71,847381
-39.35677252197266,1000,851432,11.18499204134941,18343,34.0,31.6,31.6,11,851432,72,851432
-39.65115464782715,1000,856793,11.35811869072914,18408,33.0,75.6,75.6,11,856793,73,856793
-40.24389144897461,1000,862862,10.499917910099029,18473,33.0,31.4,31.4,11,862862,74,862862
-41.020824417114255,1000,867848,9.835448698043823,18538,34.0,43.6,43.6,11,867848,75,867848
-41.57836352539063,1000,872283,9.60102416586876,18603,34.0,66.6,66.6,11,872283,76,872283
-41.98534395599365,1000,876110,9.602114047050476,18668,25.0,71.4,71.4,11,876110,77,876110
-42.36219916534424,1000,880503,10.303077322483063,18733,24.0,41.0,41.0,10,880503,78,880503
-42.0304337310791,1000,884497,9.998969092607497,18798,26.0,64.4,64.4,10,884497,79,884497
-42.05470011138916,1000,889252,9.888620112419128,18863,24.0,68.6,68.6,10,889252,80,889252
-42.626178604125975,1000,893352,10.098885854244232,18928,37.0,69.2,69.2,10,893352,81,893352
-42.55470258331299,1000,897797,10.746334740161895,18993,33.0,33.2,33.2,10,897797,82,897797
