actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-1.349848534266154,75,16623,0.016700325049459935,247,45.0,75.8,75.8,242,16623,1,16623
-3.811156856386285,76,22276,0.230168868101349,312,46.0,76.6,76.6,188,22276,2,22276
-6.714495605892605,108,28707,0.8303695488031264,377,200.0,108.0,108.0,167,28707,3,28707
-9.284392394028702,77,34208,1.4762289973048421,442,47.0,77.2,77.2,154,34208,4,34208
-11.943834676370992,77,40764,2.204481018441064,507,47.0,77.2,77.2,136,40764,5,40764
-13.963198454483695,138,46090,2.958983366796072,572,200.0,138.6,138.6,132,46090,6,46090
-16.17839166853163,108,51565,3.7513874010355384,637,47.0,108.0,108.0,131,51565,7,51565
