actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-4.20997451877594,1000,100393,0.6092631576359272,2860,119.0,74.0,74.0,351,100393,1,100393
-9.240562644958496,1000,100926,2.6412561015486715,2870,76.0,76.6,76.6,241,100926,1,100926
-13.441788906097413,1000,101806,2.3960621767938135,2880,120.0,104.0,104.0,184,101806,1,101806
-17.18264242553711,1000,102661,2.2096329442858695,2890,39.0,71.4,71.4,150,102661,1,102661
-20.85207790374756,1000,103097,2.5998650666475296,2900,28.0,33.4,33.4,125,103097,1,103097
-24.42163331604004,1000,103582,3.279169962465763,2910,80.0,43.6,43.6,108,103582,1,103582
-27.9656346282959,1000,104139,3.8753184566497803,2920,32.0,77.6,77.6,95,104139,2,104139
-29.64291582107544,1000,104541,4.4968716692924495,2925,200.0,80.4,80.4,90,104541,2,104541
-31.312289749145506,1000,104944,4.926369221091271,2930,40.0,80.6,80.6,84,104944,2,104944
-34.43526759338379,1000,105709,6.325999687552452,2940,25.0,68.2,68.2,65,105709,2,105709
-37.26645588684082,1000,106707,7.3198229336738585,2950,33.0,100.8,100.8,58,106707,2,106707
-40.03316707611084,1000,107279,8.73768830060959,2960,41.0,36.8,36.8,53,107279,2,107279
-42.74347187042236,1000,107672,9.62394531083107,2970,31.0,36.6,36.6,48,107672,2,107672
-45.198053680419925,1000,108251,10.729138123035431,2980,29.0,74.4,74.4,45,108251,2,108251
-47.38584604644775,1000,108556,11.399689640760421,2990,31.0,31.8,31.8,42,108556,3,108556
-49.50642138671875,1000,109066,11.858522579669952,3000,58.0,42.2,42.2,39,109066,3,109066
-51.374898429870605,1000,109469,12.350805063724518,3010,33.0,41.2,41.2,37,109469,3,109469
-52.98555751800537,1000,109954,12.42378441286087,3020,48.0,34.6,34.6,34,109954,3,109954
-54.489626831054686,1000,110424,12.709758375167846,3030,50.0,31.8,31.8,31,110424,3,110424
-55.820668907165526,1000,111102,13.225346969127655,3040,34.0,47.2,47.2,29,111102,3,111102
-57.23264860534668,1000,111905,13.500890045166015,3050,156.0,102.0,102.0,28,111905,4,111905
-57.82452513885498,1000,112240,14.107201571941376,3055,199.0,67.0,67.0,27,112240,4,112240
-58.47974838256836,1000,112467,14.106618767261505,3060,51.0,45.4,45.4,27,112467,4,112467
-59.54538942718506,1000,112912,14.347046670913697,3070,41.0,43.0,43.0,26,112912,4,112912
-60.687860931396486,1000,113444,14.82848153591156,3080,24.0,33.8,33.8,25,113444,4,113444
-61.83095224761963,1000,113989,15.101901978492737,3090,34.0,34.6,34.6,24,113989,4,113989
-62.98002263641357,1000,114356,15.655399942874908,3100,42.0,35.2,35.2,23,114356,4,114356
-64.35097630310058,1000,114763,16.87591473531723,3110,38.0,32.0,32.0,22,114763,4,114763
-65.46575583648682,1000,115539,17.623089863300322,3120,31.0,34.6,34.6,21,115539,5,115539
-66.51084399414063,1000,116192,17.826982434272765,3130,30.0,39.2,39.2,20,116192,5,116192
-67.57346006774902,1000,116770,18.56099490261078,3140,55.0,41.6,41.6,19,116770,5,116770
-68.78455944824219,1000,117421,22.978954803943633,3150,147.0,60.8,60.8,19,117421,5,117421
-69.85241416931153,1000,117899,20.364005913734434,3160,40.0,59.4,59.4,18,117899,5,117899
-70.67435469055175,1000,118430,21.688932017326355,3170,43.0,62.4,62.4,18,118430,5,118430
-71.55594604492188,1000,118925,20.709381618499755,3180,43.0,35.0,35.0,17,118925,6,118925
-71.86162010192871,1000,119230,21.85555203437805,3185,29.0,61.0,61.0,17,119230,6,119230
-72.36277825927735,1000,119412,22.353007267951966,3190,31.0,36.4,36.4,17,119412,6,119412
-72.76333049011231,1000,119810,22.89702499103546,3200,46.0,39.8,39.8,17,119810,6,119810
-73.19288235473633,1000,120228,24.481457850456238,3210,40.0,37.4,37.4,16,120228,6,120228
-73.51532783508301,1000,120825,24.04828883934021,3220,48.0,73.8,73.8,15,120825,6,120825
-73.58806199645996,1000,121354,24.638139175415038,3230,200.0,71.0,71.0,15,121354,6,121354
-73.81045458984374,1000,121702,24.55547120189667,3240,41.0,34.6,34.6,15,121702,6,121702
-73.92546099853516,1000,122250,25.326017380714415,3250,152.0,69.4,69.4,14,122250,7,122250
-73.90778182983398,1000,122602,26.260062953948974,3260,42.0,33.8,33.8,14,122602,7,122602
-73.95593444824219,1000,123109,26.901446336746215,3270,43.0,60.0,60.0,14,123109,7,123109
-74.17287832641601,1000,123548,28.139643795013427,3280,96.0,53.0,53.0,14,123548,7,123548
-74.30067544555664,1000,124129,27.772064432144166,3290,32.0,49.6,49.6,13,124129,7,124129
