actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-17.172359380722046,1000,101273,1.9829451199173926,2899,63.0,47.2,47.2,100,101273,1,101273
-38.10997371673584,1000,105123,8.19694162607193,2964,43.0,103.8,103.8,46,105123,2,105123
-48.68576952362061,1000,108977,12.003150821208953,3029,92.0,48.4,48.4,29,108977,3,108977
-56.45812851715088,1000,112039,16.192465717315674,3094,36.0,37.2,37.2,21,112039,4,112039
-69.97168933105469,1000,114466,22.394706660270693,3159,46.0,35.2,35.2,17,114466,5,114466
-80.96442575073242,1000,116989,27.82768676662445,3224,32.0,34.0,34.0,14,116989,6,116989
-89.38463584899903,1000,120219,35.38510822486877,3289,42.0,52.0,52.0,13,120219,7,120219
-95.49728833007812,1000,122922,42.19815268039704,3354,32.0,36.2,36.2,11,122922,8,122922
-98.11577993774414,1000,125292,46.633823873519894,3419,29.0,33.0,33.0,10,125292,9,125292
-98.954416305542,1000,127594,47.576598739624025,3484,39.0,36.2,36.2,9,127594,10,127594
-98.00588215637207,1000,129863,47.69331530475616,3549,31.0,36.4,36.4,8,129863,11,129863
-95.08678672790528,1000,132070,44.50073725223541,3614,31.0,32.6,32.6,8,132070,12,132070
-91.3342903137207,1000,134401,41.21019528579712,3679,37.0,35.2,35.2,7,134401,13,134401
-88.42131246948242,1000,136604,36.91494277191162,3744,32.0,33.0,33.0,7,136604,14,136604
-84.76507090759277,1000,138790,31.673947291374205,3809,34.0,35.8,35.8,7,138790,15,138790
-82.688062210083,1000,141167,31.248911355018617,3874,32.0,35.8,35.8,6,141167,16,141167
-81.41703796386719,1000,143469,26.775762276649473,3939,42.0,33.6,33.6,6,143469,17,143469
-81.45409326171875,1000,145650,27.634173475265502,4004,37.0,36.4,36.4,6,145650,18,145650
-81.86405711364746,1000,148031,29.458392252922057,4069,30.0,33.8,33.8,5,148031,19,148031
-82.07092199707031,1000,150336,32.6109912033081,4134,40.0,42.6,42.6,5,150336,20,150336
-81.36644473266601,1000,153017,34.7077474861145,4199,31.0,62.2,62.2,5,153017,21,153017
-82.15006364440919,1000,155506,37.96848349189758,4264,52.0,31.8,31.8,5,155506,22,155506
-84.52630393981934,1000,158095,39.36713416862488,4329,36.0,36.6,36.6,5,158095,23,158095
-85.50507025146484,1000,160530,40.249942029953004,4394,36.0,36.2,36.2,5,160530,24,160530
-87.73265440368652,1000,163240,41.24795159339905,4459,27.0,31.4,31.4,4,163240,25,163240
-89.30527159118652,1000,166236,40.8446360244751,4524,35.0,51.4,51.4,4,166236,26,166236
-90.28999299621582,1000,168961,40.350158107757565,4589,83.0,43.6,43.6,4,168961,27,168961
-90.51060766601563,1000,171849,48.16347555732727,4654,42.0,34.0,34.0,4,171849,28,171849
-91.20211288452148,1000,174820,49.3056729259491,4719,88.0,48.2,48.2,4,174820,29,174820
-91.4631305847168,1000,177772,52.392347295761105,4784,72.0,55.2,55.2,4,177772,30,177772
-91.7301756439209,1000,180447,60.76303118133545,4849,46.0,39.6,39.6,4,180447,31,180447
-93.19551403808593,1000,183209,65.2266424484253,4914,41.0,41.2,41.2,4,183209,32,183209
-94.2488288269043,1000,185818,66.66665301513672,4979,42.0,37.4,37.4,4,185818,33,185818
-92.75899658203124,1000,188338,69.54032501220703,5044,34.0,36.2,36.2,4,188338,34,188338
-88.72618743896484,1000,190809,70.50380489730836,5109,31.0,36.8,36.8,4,190809,35,190809
-86.50488902282714,1000,193106,63.80677545166016,5174,31.0,37.4,37.4,4,193106,36,193106
-85.38900170898438,1000,195521,60.69171714401245,5239,30.0,33.0,33.0,3,195521,37,195521
-83.60714085388183,1000,197839,57.6465449142456,5304,44.0,37.4,37.4,3,197839,38,197839
-80.38686444091798,1000,200262,53.703517906188964,5369,34.0,43.4,43.4,3,200262,39,200262
-74.91312030029297,1000,202786,52.14858274650574,5434,28.0,32.6,32.6,3,202786,40,202786
-68.78464614105225,1000,205291,51.96967414855957,5499,43.0,44.4,44.4,3,205291,41,205291
-61.50393318939209,1000,207886,51.5772232170105,5564,44.0,36.6,36.6,3,207886,42,207886
-54.263414192199704,1000,210169,50.368620182037354,5629,45.0,37.6,37.6,3,210169,43,210169
-50.635562095642086,1000,212407,46.273274393081664,5694,28.0,35.0,35.0,3,212407,44,212407
-47.59647597503662,1000,214812,50.25686013031006,5759,30.0,33.2,33.2,3,214812,45,214812
-42.842512893676755,1000,217232,66.08853251647949,5824,39.0,38.4,38.4,3,217232,46,217232
-43.299445007324216,1000,219730,109.60182437896728,5889,30.0,34.4,34.4,3,219730,47,219730
-47.92260711669922,1000,222619,289.60668711853026,5954,51.0,41.4,41.4,3,222619,48,222619
-101.3435944519043,1000,225383,2435.294783203125,6019,48.0,39.4,39.4,3,225383,49,225383
-309.67925772094725,1000,228005,27127.598818359376,6084,35.0,36.4,36.4,3,228005,50,228005
-623.2175384521485,1000,230604,145536.9987421875,6149,52.0,37.0,37.0,3,230604,51,230604
-1126.3237333984375,1000,233342,595478.1901875,6214,50.0,41.2,41.2,3,233342,52,233342
-2971.308312011719,1000,236081,3879541.315125,6279,42.0,40.2,40.2,3,236081,53,236081
-6467.053708007813,1000,238759,21802098.979,6344,29.0,37.6,37.6,3,238759,54,238759
-15404.17425390625,1000,241855,112776505.384,6409,41.0,41.6,41.6,3,241855,55,241855
-30767.87330859375,1000,244916,443743082.896,6474,33.0,42.8,42.8,3,244916,56,244916
-51259.3488984375,1000,247845,1361121177.984,6539,47.0,55.0,55.0,3,247845,57,247845
-99300.362296875,1000,251054,3866804708.992,6604,25.0,69.6,69.6,3,251054,58,251054
-142590.965125,1000,253376,9660914721.28,6669,31.0,35.8,35.8,3,253376,59,253376
-204392.1903125,1000,256045,21622927619.072,6734,34.0,44.2,44.2,3,256045,60,256045
-307282.126375,1000,258516,55081660319.744,6799,31.0,33.6,33.6,3,258516,61,258516
-460159.451,1000,261212,114688247681.024,6864,41.0,51.6,51.6,3,261212,62,261212
-657456.781,1000,264025,249690096107.52,6929,46.0,40.4,40.4,3,264025,63,264025
-853267.8235,1000,266485,441623205314.56,6994,26.0,29.4,29.4,3,266485,64,266485
-1038687.795625,1000,269200,681426480283.648,7059,33.0,43.6,43.6,3,269200,65,269200
-1205322.751375,1000,271616,930170738278.4,7124,56.0,46.8,46.8,3,271616,66,271616
-1359739.51775,1000,274180,1509827943333.888,7189,67.0,36.2,36.2,3,274180,67,274180
-1592007.80525,1000,276903,1895603070959.616,7254,29.0,52.2,52.2,3,276903,68,276903
-1692619.013125,1000,279522,8554836995211.264,7319,35.0,56.0,56.0,3,279522,69,279522
-1718428.87725,1000,282520,3838652818259.968,7384,34.0,58.6,58.6,2,282520,70,282520
-2228318.1895,1000,285299,4523080402599.936,7449,25.0,57.4,57.4,2,285299,71,285299
-2921277.453,1000,287799,8795129542868.992,7514,29.0,28.4,28.4,2,287799,72,287799
-3534973.208,1000,290134,11373694715166.72,7579,40.0,37.2,37.2,2,290134,73,290134
