actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-0.4066117074754503,45,14356,0.07730443874994913,806,168.0,45.0,45.0,450,14356,1,14356
-1.0861964055470057,14,16267,0.0195201269483992,871,12.0,14.8,14.8,259,16267,2,16267
-1.4333925114737616,18,17297,0.04784829086727566,936,21.0,18.4,18.4,256,17297,3,17297
-1.7975746790568035,12,18214,0.09105073257038991,1001,12.0,12.0,12.0,253,18214,4,18214
-2.3401938326218548,17,19219,0.17820586088825674,1066,12.0,17.2,17.2,251,19219,5,19219
