actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-18.991141536712647,1000,104160,3.235469946563244,2769,33.0,66.6,66.6,214,104160,1,104160
-36.62398361206055,1000,110309,7.966797223329544,2834,200.0,64.2,64.2,105,110309,2,110309
-49.46500512695312,1000,115039,16.450287847995757,2899,48.0,61.4,61.4,72,115039,3,115039
-56.601842811584476,1000,119147,21.175784164428713,2964,200.0,66.8,66.8,54,119147,4,119147
-65.62345072174072,1000,122733,28.62661071205139,3029,49.0,76.2,76.2,42,122733,5,122733
-76.51532281494141,1000,126096,40.335639720916745,3094,200.0,65.4,65.4,32,126096,6,126096
-91.55134048461915,1000,129897,61.96451849365234,3159,46.0,57.2,57.2,25,129897,7,129897
