actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-0.37397263738331876,181,10177,59.723007869062876,56,-8.777107930657905,161.625,56.919989625,2143,10177,1,10177
-0.9224316569475027,13,10705,99.87848604642429,96,98.65289904981114,13.4,98.7576986,592,10705,2,10705
-0.9773637331449069,13,11231,98.94657912621132,136,98.97483294528686,13.2,98.831159,537,11231,3,11231
-2.4191477665534387,13,11755,99.30999462421124,176,98.74760778452078,13.4,98.799445,498,11755,4,11755
-2.774443030357361,12,12264,110.70505142211914,216,98.94132027172671,12.8,98.9158652,465,12264,5,12264
-3.6349063714345298,12,12776,78.4483102162679,256,99.03392930582484,12.6,98.942585,445,12776,6,12776
-5.511037313021147,13,13308,56.85541079594539,296,99.06226880048845,13.4,98.88430760000001,421,13308,7,13308
-7.13265741788424,13,13841,32.322467437157265,336,98.90669111129968,13.4,98.8757284,399,13841,8,13841
-8.760948181152344,13,14370,47.43055226252629,376,98.86193039280066,13.2,98.90184500000001,381,14370,9,14370
-10.228895596095494,14,14904,26.404059682573592,416,98.69831425069552,14.6,98.72864619999999,368,14904,10,14904
-10.829939181988056,13,15439,19.346793541541466,456,99.03397566120859,13.2,98.8585538,288,15439,11,15439
-12.585452299851637,13,15952,13.467502447275015,496,98.90510965593514,13.2,98.91030219999999,283,15952,12,15952
-14.049216270446777,14,16481,9.038900375366211,536,98.89712869728437,14.4,98.75485359999999,280,16481,13,16481
-16.541820966280422,13,17003,9.241097083458534,576,99.03217533612602,13.2,98.86620719999999,276,17003,14,17003
-18.618553455059345,13,17537,5.9753495913285475,616,98.64697305754375,13.8,98.7975574,272,17537,15,17537
-19.19475584763747,13,18070,5.102358121138352,656,98.93657301757648,13.2,98.839866,269,18070,16,18070
-22.849756094125603,13,18603,5.3869066055004415,696,99.028394908248,13.8,98.81732819999999,266,18603,17,18603
-23.1572364171346,12,19117,4.571171085039775,736,98.8398535578179,12.6,98.91394000000001,263,19117,18,19117
-24.071655591328938,12,19635,3.9066218535105386,776,99.01345949137287,12.4,99.0017794,260,19635,19,19635
-26.41016674041748,12,20167,4.013314763704936,816,98.86342966298498,12.6,98.9565322,227,20167,20,20167
-29.85387156559871,13,20698,3.403350206521841,856,98.89491690377962,13.0,98.8481434,226,20698,21,20698
-32.054954528808594,13,21215,3.2429180512061486,896,98.80689793097461,13.2,98.8574178,225,21215,22,21215
-32.97816022237142,12,21736,3.60448565085729,936,98.68617861301722,12.8,98.91062020000001,224,21736,23,21736
-32.85954189300537,12,22261,3.2352869113286338,976,98.76692143852424,12.6,98.9246274,224,22261,24,22261
-34.71416918436686,12,22794,3.372468113899231,1016,98.85222938538998,12.8,98.8513312,224,22794,25,22794
-40.05406951904297,13,23314,3.2229873033670278,1056,98.7798028414823,13.6,98.87719100000001,223,23314,26,23314
-40.04780578613281,13,23838,3.1354195521428037,1096,98.85352554935197,13.4,98.8830274,222,23838,27,23838
-42.12850247896635,13,24356,3.1218412656050463,1136,98.84446623185727,13.6,98.8190184,221,24356,28,24356
-40.98095385233561,12,24890,3.145491600036621,1176,98.84197876751938,12.8,98.9046332,220,24890,29,24890
-44.08717664082845,12,25396,3.0564157168070474,1216,98.87880025243018,12.4,98.8520278,199,25396,30,25396
-44.71499061584473,12,25921,3.0318305691083274,1256,99.01623760196979,12.6,99.02039540000001,198,25921,31,25921
-50.91020848200871,13,26456,3.128791460624108,1296,98.86848397217054,13.6,98.7778102,198,26456,32,26456
-52.466258122370796,13,26990,2.712389799264761,1336,98.86114870101848,13.2,98.89217260000001,198,26990,33,26990
-50.204010009765625,12,27518,2.9064794977506003,1376,99.01427355641393,12.6,98.95033459999999,198,27518,34,27518
-56.032725407527046,13,28055,3.0271794979388895,1416,99.00916427230456,13.8,98.78142799999999,198,28055,35,28055
-53.2464345296224,12,28578,2.6722577710946402,1456,98.83283841822691,12.2,98.93622079999999,197,28578,36,28578
-60.37699596698467,13,29097,2.4411192582203793,1496,99.025439297797,13.2,98.8816348,197,29097,37,29097
-62.34835521991436,13,29618,2.445631357339712,1536,99.03473507412946,13.2,98.8588944,197,29618,38,29618
-63.86895810640775,13,30150,2.491773559496953,1576,98.96181392586932,13.4,98.81626659999999,183,30150,39,30150
-62.21111170450846,12,30679,1.9979122877120972,1616,98.87320112446457,12.8,98.8982388,183,30679,40,30679
-66.78161914532001,13,31200,1.7754958134431105,1656,98.95011732738703,13.0,98.9082764,183,31200,41,31200
-65.04568099975586,12,31718,1.8978785773118336,1696,98.81299882106292,12.4,98.8852886,183,31718,42,31718
-66.55607414245605,12,32238,1.8747154672940571,1736,98.97091673057349,12.2,98.9201278,183,32238,43,32238
-71.75018780048077,13,32767,1.6833246121039758,1776,99.12864002896404,13.4,98.91901680000001,183,32767,44,32767
-70.22066116333008,12,33285,1.5631603399912517,1816,99.09999268295324,12.2,99.04302799999999,183,33285,45,33285
-69.50192387898763,12,33810,1.2141214509805043,1856,99.02648067457255,12.8,98.96070239999999,183,33810,46,33810
-77.00506004920372,13,34338,1.2540209018267119,1896,98.98758578844934,13.2,98.87340420000001,183,34338,47,34338
-77.37517371544472,13,34865,1.224383913553678,1936,98.82706253233022,13.8,98.7796008,183,34865,48,34865
-71.7519645690918,12,35397,1.2691656549771626,1976,98.96549544399765,12.6,98.92992819999999,172,35397,49,35397
-79.98052861140324,13,35926,1.1619207767339854,2016,98.73528592348075,13.4,98.80110300000001,173,35926,50,35926
-73.80775197347005,12,36442,1.2582489798466365,2056,98.89494378632138,12.2,98.9540506,173,36442,51,36442
-81.40631103515625,13,36975,1.3132652365244353,2096,99.08136602857061,13.4,98.9099748,173,36975,52,36975
-78.6293347676595,12,37503,1.4252283424139023,2136,98.74537173841141,12.6,98.9047972,173,37503,53,37503
-84.08836482121394,13,38027,1.4357046897594745,2176,98.9666575211119,13.2,98.8596828,173,38027,54,38027
-79.01025826590401,14,38557,1.353908794266837,2216,98.73121383509792,14.2,98.7268442,174,38557,55,38557
-85.93249276968149,13,39070,1.2962680917519789,2256,98.91967591052742,13.0,98.9657024,175,39070,56,39070
-88.39677290482955,11,39591,1.1773211685093967,2296,99.2307269867622,11.8,99.0059474,175,39591,57,39591
-86.53658118614784,13,40114,1.4969501036864061,2336,98.8258209995643,13.0,98.8155988,167,40114,58,40114
-89.04439368614784,13,40645,1.7115937838187585,2376,98.71273079811297,13.4,98.86219120000001,167,40645,59,40645
-88.13148498535156,13,41175,1.4420713919859667,2416,98.66486240027699,13.6,98.87585960000001,168,41175,60,41175
-82.64108530680339,12,41699,1.319617673754692,2456,98.96591337317209,12.0,98.97719120000001,168,41699,61,41699
-89.42664161095253,13,42225,1.2110890195919917,2496,99.00315980591822,13.2,98.8818194,168,42225,62,42225
-83.50969950358073,12,42751,1.575185775756836,2536,98.73458413492816,12.0,98.9927476,168,42751,63,42751
-91.53633821927585,13,43262,1.5236890774506788,2576,98.87394070088556,13.0,98.8852062,168,43262,64,43262
-91.8495847261869,13,43781,1.1324204160616949,2616,99.06590218642658,13.2,98.8880626,168,43781,65,43781
-91.5578836294321,13,44302,1.4195724634023814,2656,98.91349547337845,13.2,98.90117380000001,169,44302,66,44302
-84.78978983561198,12,44823,1.175301343202591,2696,98.90612440332538,12.2,98.90102999999999,169,44823,67,44823
-94.10749400745739,11,45342,1.1363161693919788,2736,99.03370973252277,11.6,98.9883288,163,45342,68,45342
-92.68927706204929,13,45873,1.0582985098545368,2776,99.04685370659485,13.2,98.89606699999999,163,45873,69,45873
-94.27169447678786,13,46391,1.181223438336299,2816,98.98783505008124,13.0,98.89742120000001,163,46391,70,46391
-93.63539593036359,13,46915,1.0874129075270433,2856,98.85738108327395,13.4,98.7937066,163,46915,71,46915
-93.4837176983173,13,47445,1.2130539279717665,2896,98.84530527676327,13.2,98.8629318,164,47445,72,47445
-94.54397583007812,13,47966,0.9728966263624338,2936,99.03584454969221,13.0,98.90049060000001,164,47966,73,47966
-87.50108664376395,14,48488,0.9297388877187457,2976,98.70444326181392,14.4,98.79491779999998,164,48488,74,48488
-94.49294809194711,13,49010,1.030883477284358,3016,98.77535003704561,13.8,98.7784674,164,49010,75,49010
