eps_num,iter,critic_loss,actor_loss,csc_samples_neg,csc_samples_pos,train_acc,snap_iter,beta_score,main_critic_loss,main_actor_loss,main_beta_score,main_prox_critic,main_prox_actor,main_avg_prox_coef,tidx,avg_rewards,one_raw_reward
56,10177,1166.1836944580077,-7.8499163627624515,14,24,0.8947368421052632,10,1.0,37.45029761552811,-0.09201152805238962,0.40716854,6.008347210884094,0.04967542157508433,0.09999999999999998,8,98.65459683018409,98.60117817309207
56,10177,1358.885829925537,-7.572131538391114,12,24,0.6944444444444444,10,1.0,32.42665589332581,-0.21427378533873706,0.3852855,6.59917875289917,0.04426508452452253,0.09999999999999998,9,98.70435144648346,98.80079031759422
426,15042,70.96990966796875,-33.445143699645996,14,24,0.7105263157894737,10,1.0,20.557640419006347,-8.933090705871582,0.49458355,0.9465943586826324,0.001067685321395402,0.09999999999999998,8,98.55462677353864,98.60000001192094
426,15042,86.77476284503936,-21.674186515808106,12,24,0.6666666666666666,10,1.0,19.74715926170349,-9.043473405838013,0.460809,0.7589455136656761,0.0007029608063021442,0.09999999999999998,9,98.72989674218644,98.80000000000001
806,20035,30.576796960830688,-54.07305679321289,14,24,0.631578947368421,10,1.0,3.6598141586780546,-16.336247730255128,0.5140322,0.36767704755067826,0.0006915439129079459,0.09999999999999998,8,98.62528789583993,98.60000000000001
806,20035,32.991734218597415,-32.64530563354492,13,24,0.6486486486486487,10,1.0,2.716726793050766,-14.441206283569336,0.51573926,0.40634836077690123,0.000736004317914194,0.09999999999999998,9,98.80031150683911,98.7
1186,25016,27.567398333549498,-54.65985260009766,15,24,0.6153846153846154,10,1.0,2.7237022376060485,-25.872190132141114,0.5653302,0.29187204599380495,0.0008775334802339785,0.09999999999999998,8,98.65011168067602,98.5
1186,25016,81.89644492864609,-47.579088592529295,12,24,0.6666666666666666,10,1.0,4.774212541580201,-21.9796923828125,0.45653668,0.7101058697700501,0.0009109484771033749,0.09999999999999998,9,98.87510318902514,98.80000000000001
1566,30015,59.43107384741306,-88.83521270751953,13,24,0.6486486486486487,10,1.0,3.2291762363910674,-32.50566993713379,0.5547679,0.457653580904007,0.0006544190973363584,0.09999999999999998,8,98.62521474922227,98.7
1566,30015,99.45077772140503,-71.69727325439453,12,24,0.6666666666666666,10,1.0,2.783044155240059,-29.928178634643555,0.49569482,0.33208135977387426,0.0006685473252218798,0.09999999999999998,9,98.77521267351665,98.80000000000001
1946,35005,63.40834111571312,-83.6244140625,15,24,0.6153846153846154,10,1.0,2.9661853301525114,-46.325725402832035,0.5535736,0.6476406705379486,0.0035683129995595663,0.09999999999999998,8,98.61119752880427,98.5
1946,35005,41.20932638347149,-78.35503997802735,14,24,0.631578947368421,10,1.0,1.6446148192882537,-41.19487396240234,0.53292483,0.3157483758032322,0.008846035874448717,0.09999999999999998,9,98.79391965019508,98.60000000000001
2331,40049,26.070967464149,-93.9663330078125,14,24,0.631578947368421,10,1.0,1.9970228582620622,-48.57749282836914,0.651763,0.20640801541507245,0.0028952138475142417,0.09999999999999998,8,98.5531750632405,98.60000000000001
2331,40049,61.98876597136259,-91.58898162841797,12,24,0.6666666666666666,10,1.0,2.1929883393645286,-40.493641967773435,0.49276146,0.339706564694643,0.0022028534463606774,0.09999999999999998,9,98.72781025895401,98.80000000000001
2711,45019,63.63869488239288,-95.28401947021484,14,24,0.631578947368421,10,1.0,2.4023362123966217,-50.38078002929687,0.5651682,0.19141051713377238,0.001759734788793139,0.09999999999999998,8,98.62504167615523,98.60000000000001
2711,45019,59.64838117361069,-92.35042724609374,13,24,0.6486486486486487,10,1.0,2.2040193551778793,-45.28294166564942,0.5193269,0.1814832941442728,0.0016815093607874588,0.09999999999999998,9,98.77511481238963,98.7
3091,50012,36.977677842974664,-94.06699066162109,13,24,0.6486486486486487,10,1.0,1.3432181352376937,-45.3003084564209,0.50038326,0.2581342227011919,0.0008391816449875478,0.09999999999999998,8,98.62501578125585,98.7
3091,50012,30.991473644971848,-93.55040435791015,13,24,0.6486486486486487,10,1.0,1.3971652638912202,-48.737194595336916,0.5510125,0.1801545225083828,0.0006680325888737571,0.09999999999999998,9,98.75004613450551,98.7
